ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2020-0065,1,2020-12-05,16.0,"PAZ, GRAL. AV. Y GOYENECHE, ROBERTO PARQUE AV.",GRAL PAZ,True,12,-58.49332664,-34.54836855,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,24.0
2020-0066,1,2020-12-07,4.0,AUTOPISTA PERITO MORENO ALTURA ESTACION DE TREN VILLA LURO,AUTOPISTA,False,10,-58.50178784,-34.63593897,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,27.0
2020-0067,1,2020-12-11,22.0,SAENZ AV. Y BEAZLEY,AVENIDA,True,4,-58.41657793,-34.65476216,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,51.0
2020-0068,1,2020-12-12,20.0,DEL LIBERTADOR AV. Y AUSTRIA,AVENIDA,True,2,-58.39731474,-34.58307887,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,71.0
2020-0069,1,2020-12-15,5.0,"INDEPENDENCIA AV. Y SAENZ PEÑA, LUIS, PRES.",AVENIDA,True,1,-58.38746381,-34.61790839,MOTO-PASAJEROS,PASAJEROS,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25.0
2020-0070,1,2020-12-17,15.0,"CALLAO AV. Y LAS HERAS, GENERAL",AVENIDA,True,2,-58.39189441,-34.59176378,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,81.0
2020-0071,1,2020-12-17,23.0,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,True,7,-58.46749188,-34.63551751,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,4.0
2020-0072,1,2020-12-19,3.0,"JUJUY AV. Y CARLOS, CALVO",AVENIDA,True,3,-58.40280471,-34.62113271,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,42.0
2020-0073,1,2020-12-20,7.0,27 DE FEBRERO AV. Y ESCALADA AV.,AVENIDA,True,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,56.0
2020-0074,1,2020-12-20,21.0,BOGOTA Y NAZCA AV.,AVENIDA,True,7,-58.47110424,-34.62742408,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,39.0
